LDGS_NM,AFRM_KWRD_CN,AFRM_WGHTVAL_SCORE,NEGA_KWRD_CN,NEGA_WGHTVAL_SCORE
베니키아호텔 산과바다 속초,"['동해', '저렴', '바다', '제가', '타월']","[0.6926506607271178, 0.6363926338281763, 0.5151612199109851, 0.44804336885261586, 0.38822012033886655]","['침구', '노후', '깨끗', '시설', '인터넷']","[-0.5592062635068996, -0.5244491188139377, -0.5132000306872158, -0.4645207205686366, -0.3672269868815707]"
오색그린야드호텔,"['파동', '힐링', '탄산', '암반', '깨끗']","[1.9715213032854249, 1.7895206612055474, 1.5462437477794473, 1.2059134303015666, 1.062353322051497]","['날씨', '가족', '여행', '조용', '식당']","[-2.553606819475328, -1.897381145100877, -1.7772271464325187, -1.765120737941709, -1.7370492702453235]"
메종글래드제주,"['여행', '시설', '접근성', '공항', '조식']","[0.7410507205120398, 0.47287843051602974, 0.3853942725457754, 0.3403804117547284, 0.30676573679208036]","['가격', '화장실', '시내', '결제', '아침']","[-0.7554816804338119, -0.6066964242724248, -0.5883053908167644, -0.5689367910308821, -0.5355713345890006]"
호텔 스카이파크,"['조용', '하루', '깨끗', '장점', '힐링']","[0.3639819669589161, 0.2979044686381022, 0.2269120434946005, 0.20663989017038006, 0.17528990252380885]","['위치', '한라산', '시내', '조식', '숙박']","[-0.7406616025405263, -0.6827640981873521, -0.45326696444972375, -0.38524557942721255, -0.31898922655455697]"
메이더호텔,"['친절', '청결', '조용', '직원', '깨끗']","[1.1240702881313298, 0.7611432452961742, 0.6468687648641412, 0.3903259893570193, 0.34158299047816215]","['사용', '가능', '프론트', '수영장', '위치']","[-0.46508601001891, -0.4212014899725157, -0.4056698518548704, -0.38505053297014125, -0.36776749618806076]"
그라벨호텔,"['온수', '수영장', '청결', '제주도', '옥상']","[0.7873191358893434, 0.6663524275583816, 0.6460085343464819, 0.3769484731617934, 0.34959366691151894]","['가격', '위치', '공항', '음식', '냄새']","[-1.204431813926549, -0.839640736735902, -0.7743565450607156, -0.6029601167705259, -0.5615653055898925]"
아스타호텔,"['가격', '여행', '깔끔', '시내', '침대']","[0.8803104549057964, 0.6584372318229517, 0.48120525547862697, 0.447443449511737, 0.4180567494671691]","['직원', '객실', '저녁', '조식', '도착']","[-0.835181659622975, -0.8081112792985271, -0.5820918919482734, -0.574217164794229, -0.5182972465802054]"
신라스테이제주,"['침구', '깔끔', '시설', '인터파크', '시내']","[3.1400207106307416, 2.9262110292559593, 2.70365380992229, 1.4794723454572427, 1.3939370359796392]","['위치', '조식', '가격', '직원', '스탭']","[-4.170046901207398, -3.430850967011605, -2.43380989084051, -2.3752122838149416, -2.2138131053260555]"
베니키아호텔제주(구. 뉴베니키아호텔제주),"['여행', '수영장', '애월', '따뜻', '온도']","[0.634683632886805, 0.5831904990110306, 0.545316763837787, 0.5021083819896415, 0.4254237958717295]","['편의점', '침대', '친절', '깔끔', '수건']","[-0.8509218674442838, -0.8210077999285805, -0.7189853224960864, -0.661699548572547, -0.6579464498092334]"
호텔더원,"['제주도', '친절', '깨끗', '여행', '컨디션']","[0.6596962071754072, 0.6322339687299237, 0.5778887067464412, 0.4291987492601883, 0.40116387688157573]","['냄새', '침구', '깔끔', '화장실', '담배']","[-0.7999759871938877, -0.662597738659718, -0.5382366139700807, -0.47111286677746245, -0.41222297361727317]"
호텔난타,"['여행', '가족', '난타', '사용', '소리']","[1.2951666843124896, 0.6564606209012369, 0.5139563607005233, 0.5014842682533884, 0.4811470473316244]","['객실', '식사', '창문', '아침', '서비스']","[-0.868609612819704, -0.7295928004515431, -0.645497863735107, -0.6054288910921766, -0.5002406366050879]"
호텔 샬롬,"['여행', '조식', '샬롬', '침대', '커서']","[0.4891164350013808, 0.43707723744406385, 0.3772354257873884, 0.3513319081824341, 0.2842526474844584]","['욕조', '위치', '객실', '깨끗', '바다']","[-0.7400314414711591, -0.6515522435393898, -0.5886330280327563, -0.5516371269616074, -0.4829058497919736]"
호텔 시리우스,"['수영장', '여행', '컨디션', '수영', '제주도']","[0.717683893623777, 0.5093378328158655, 0.4895733101929995, 0.3877892040901747, 0.3404892095512491]","['객실', '소리', '조식', '시설', '깨끗']","[-1.0659911208947201, -0.6001958284016303, -0.5832079783734584, -0.5423725697273869, -0.5260523090310036]"
다인리조트,"['깨끗', '여행', '수영장', '바다', '라이브']","[0.45703239382636307, 0.4123642681568358, 0.3625886766658919, 0.29580411855351063, 0.2850021650304459]","['냄새', '시설', '청결', '신경', '별점']","[-0.5133143773831582, -0.31295917366416526, -0.2978681069531392, -0.26870503811937485, -0.24323850458851198]"
올레리조트,"['수영장', '가족', '올레', '아이들', '동남아']","[1.0940841255035108, 1.00320402706066, 0.7760336266381559, 0.4471372162298362, 0.44616169869218203]","['조식', '깔끔', '직원', '화장실', '전반']","[-1.1218170020568383, -0.465902158463912, -0.46384780063566927, -0.4634968242594438, -0.4360400145756011]"
수앤수리조트(구.수앤수가족호텔),"['깔끔', '사용', '준비', '가격', '객실']","[0.45743553311682844, 0.4224106800359058, 0.4219824366113744, 0.3983894514425038, 0.39014473400220484]","['여행', '냄새', '고양이', '친절', '방음']","[-0.6367695391838806, -0.4741069507857321, -0.41976585435063857, -0.3427236198828283, -0.302042672985324]"
네스트호텔(NEST HOTEL),"['여행', '직원', '가격', '아기', '따뜻']","[1.4737758880146594, 1.4161748969351868, 1.287011175137966, 1.119566292475334, 0.7395828977363009]","['조식', '시설', '객실', '공항', '청결']","[-1.1340835857853937, -1.0473941784049092, -1.005230885056034, -0.876381508895162, -0.7510269869340702]"
파라다이스시티,"['사람', '가족', '평일', '저렴', '패키지']","[0.9948575566682237, 0.7291181225386418, 0.5586316574454224, 0.5077539218239773, 0.40410736325547436]","['수영장', '체크아웃', '인천', '공항', '공사']","[-0.8657107863186512, -0.5054101394330169, -0.49826222905853673, -0.4351352868526805, -0.42370521262574956]"
라까사호텔 광명,"['깔끔', '시설', '주차', '동굴', '글래스']","[0.7030109398551951, 0.40557145034065356, 0.3867902902621192, 0.21443743272755011, 0.18319930728426584]","['위치', '이케아', '직원', '욕조', '깨끗']","[-0.4659662399039208, -0.4297989306940836, -0.3684800770750923, -0.354151163230033, -0.3280442234995252]"
아셈호텔,"['사용', '시설', '평일', '깔끔', '이벤트']","[0.3443805741663613, 0.3297108336760887, 0.29805392931166574, 0.2738012311669939, 0.2690806928704395]","['가격', '깨끗', '직원', '객실', '도시락']","[-0.5958178764789231, -0.582709100733703, -0.4305426941065023, -0.4129867993983645, -0.3819407658558807]"
여주 썬밸리 호텔,"['적극', '깔끔', '깨끗', '친절', '준비']","[0.2502678701089894, 0.23992395622046997, 0.16434749668730328, 0.1468831473546164, 0.1253858688972623]","['조식', '아쉬움', '먼지', '시설', '기분']","[-0.4272155813589457, -0.24691087823209903, -0.2132701684841295, -0.18272902852899583, -0.15781718663947164]"
베니키아 노블호텔,"['종로', '가격', '물건', '서비스', '인사동']","[0.3698242525379524, 0.32880216215420804, 0.30885766388696195, 0.2806954492998042, 0.26712747825851924]","['제가', '수건', '말씀', '직원', '만원']","[-0.6706792671480274, -0.6348034805074063, -0.5392481765536834, -0.4944627222238153, -0.40338417436876256]"
디아크리조트,"['친절', '객실', '가능', '직원', '마스크']","[0.3029148948816226, 0.19990513206356347, 0.1953556280228616, 0.17608303829626618, 0.14922823154647125]","['수영장', '아크', '욕실', '여수', '주차장']","[-0.15265113295080251, -0.15184156724798534, -0.13119165172015673, -0.12164815034132638, -0.11678000525156375]"
